v183ciuo,ciuolabel,ciuo1diglabel,ciuo3cat,ciuolabel_color,ciuo1diglabel_color,ciuo3cat_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median,x,y,community
12133,Prof. Protec. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,2908.25,2908.25,9.24,0.04,9.21,0.0,100.0,84.56,6.84,1.79,34.19,4.0,38.0,-568.617431640625,-263.073974609375,C23
12140,Ingenieros,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,10323.88,10323.88,8.91,0.83,8.39,22.34,77.66,70.34,9.0,0.0,55.96,14.05,57.0,-527.3880615234375,308.4496459960937,C09
12141,Ing. Industriales y producción,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,4029.01,4029.01,10.02,0.48,9.83,3.7,96.3,60.51,9.0,0.0,52.48,15.42,45.5,-252.52371215820312,680.530029296875,C16
12142,Ingenieros civiles,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,37432.75,37432.75,9.3,0.52,9.07,22.57,77.43,35.87,8.88,0.48,48.65,11.76,52.0,383.3331298828125,629.0905151367188,C02
12143,Ing. med.ambiental,2. Profesionales,1. Trabajadores  no manuales,"(0.290763, 0.045644, 0.418637, 1.0)",#DF8F44,#cccccc,881.0,881.0,9.47,0.0,9.47,0.0,100.0,100.0,9.0,0.0,36.0,0.0,36.0,-734.4202270507812,315.3440246582031,C09
12144,Ing. Mecánicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12145,Ing. Químicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,4257.0,4257.0,9.5,0.16,9.44,0.0,100.0,0.0,9.0,0.0,55.53,3.72,57.0,-313.38580322265625,-199.16336059570312,C27
12146,Ing. Met. Y minas,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12149,Ingenieros n/c,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,18332.95,18332.95,9.06,0.87,9.39,4.21,95.79,10.63,8.81,0.39,43.66,13.21,49.0,-148.98028564453125,514.429443359375,C09
12150,Ing. Electrotécnología,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,3583.0,3583.0,9.31,0.0,9.31,0.0,100.0,0.0,9.0,0.0,28.0,0.0,28.0,-547.3057861328125,506.53607177734375,C09
12151,Ing. Electricista,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,2443.23,2443.23,9.79,0.01,9.78,0.0,100.0,55.18,8.84,0.37,38.4,9.53,30.0,-315.17138671875,600.418212890625,C16
12152,Ing. Electrónicos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,12311.04,12311.04,9.4,0.72,9.5,10.62,89.38,34.09,8.53,0.78,46.74,11.04,39.0,-537.7141723632812,508.0184020996094,C09
12153,Ing. Telecomunicaciones,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,8484.6,8484.6,9.56,0.21,9.18,0.0,100.0,82.07,9.0,0.0,54.62,1.46,52.0,-320.2237243652344,175.75396728515625,C01
12160,"Arquitectos, urbanistas, agrimensores y diseñadores",2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12161,Arquitectos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,70071.17,70071.17,9.4,0.76,9.26,28.7,71.3,14.88,8.96,0.19,49.73,18.4,48.0,225.18951416015625,614.5165405273438,C09
12162,Arquitectos paisajistas,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12163,Dis. Prendas y productos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,68420.69,68420.69,9.29,0.76,9.09,35.03,64.97,0.0,6.7,1.81,42.46,14.77,42.0,383.2164611816406,-241.3438262939453,C15
12164,Urbanistas e ingenieros de tránsito,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12165,Cartógrafos y agrimensores,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,22474.42,22474.42,9.14,0.99,9.62,2.06,97.94,5.7,6.67,1.69,63.7,6.08,64.0,-48.42953872680664,497.4764099121094,C09
12166,Dis. gráficos,2. Profesionales,1. Trabajadores  no manuales,"(0.297178, 0.04747, 0.420491, 1.0)",#DF8F44,#cccccc,52471.9,52471.9,8.89,0.43,8.66,45.68,54.32,7.91,7.56,1.67,38.52,9.55,36.0,4.2594170570373535,-198.442138671875,C23
12200,Prof. Salud,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,2432.85,2432.85,9.05,1.03,9.35,77.76,22.24,34.73,7.82,0.81,57.32,11.76,53.0,-798.0894775390625,-117.16148376464844,C06
12210,Médicos,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12211,Médicos generales,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,78761.29,78761.29,9.53,0.58,9.52,56.83,43.17,56.38,8.99,0.13,48.77,16.81,45.0,103.50955200195312,-448.2794494628906,C03
12212,Médicos especialistas,2. Profesionales,1. Trabajadores  no manuales,"(0.303568, 0.049396, 0.422182, 1.0)",#DF8F44,#cccccc,77842.87,77842.87,9.29,0.85,9.17,56.85,43.15,48.22,8.85,0.63,50.45,12.27,50.0,-19.684711456298828,-429.58050537109375,C03
12220,Prof. Enfermería y partería,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
12221,Prof. Enfermería y partería,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,41873.31,41873.31,9.04,0.49,9.04,69.25,30.75,58.56,8.14,0.98,52.11,11.24,48.0,14.82177448272705,-460.6567077636719,C03
12222,Prof. Partería,2. Profesionales,1. Trabajadores  no manuales,"(0.309935, 0.051407, 0.423721, 1.0)",#DF8F44,#cccccc,0.0,,,,,,,,,,,,,,,
