algorithm,resolution,score,score_type
infomap,0.13397749677790324,0.6466715337884814,NMI
infomap,0.13397749677790324,0.710766589882543,AMI
infomap,0.13397749677790324,0.7311714036197667,NMI
infomap,0.13397749677790324,0.6137294704735389,AMI
infomap,0.13397749677790324,0.6361765229102793,NMI
infomap,0.13397749677790324,0.9108193129394928,AMI
infomap,0.13397749677790324,0.9152782111908331,NMI
infomap,0.13397749677790324,0.8874537525733311,AMI
infomap,0.13397749677790324,0.8937607940150855,NMI
infomap,0.13397749677790324,0.6870455702654814,AMI
infomap,0.13397749677790324,0.7103327123129535,NMI
infomap,0.13397749677790324,0.8774204970859818,AMI
infomap,0.13397749677790324,0.8839478780126092,NMI
infomap,0.13397749677790324,0.680570383677557,AMI
infomap,0.13397749677790324,0.7013444569233439,NMI
infomap,0.13397749677790324,0.6804734875974372,AMI
infomap,0.13397749677790324,0.7099134188786078,NMI
infomap,0.13397749677790324,0.45962646729883694,AMI
infomap,0.13397749677790324,0.5126449585689407,NMI
infomap,0.13397749677790324,0.3675077430257284,AMI
infomap,0.13397749677790324,0.4082501969986563,NMI
infomap,0.13397749677790324,0.6306397128960184,AMI
infomap,0.13397749677790324,0.6525423985396123,NMI
infomap,0.13397749677790324,0.8421336544621972,AMI
infomap,0.13397749677790324,0.8523229374113629,NMI
infomap,0.13397749677790324,0.9189604465215774,AMI
infomap,0.13397749677790324,0.9227892059422057,NMI
infomap,0.13397749677790324,0.6930206893944347,AMI
infomap,0.13397749677790324,0.7211466717837629,NMI
infomap,0.13397749677790324,0.6440011821532885,AMI
infomap,0.13397749677790324,0.6659800569467283,NMI
infomap,0.13397749677790324,0.8507197118689923,AMI
infomap,0.13397749677790324,0.8588631611740293,NMI
infomap,0.13397749677790324,0.6621525906337037,AMI
infomap,0.13397749677790324,0.6882778709245084,NMI
infomap,0.13397749677790324,0.920950686957288,AMI
infomap,0.13397749677790324,0.9251220436541189,NMI
infomap,0.13397749677790324,0.6500420059222619,AMI
infomap,0.13397749677790324,0.6737336032996113,NMI
infomap,0.13397749677790324,0.6561367718922801,AMI
infomap,0.13397749677790324,0.6884259658911203,NMI
infomap,0.13397749677790324,0.4539774652248689,AMI
infomap,0.13397749677790324,0.5097909581959159,NMI
infomap,0.13397749677790324,0.4099329189282145,AMI
infomap,0.13397749677790324,0.4504339158099565,NMI
infomap,0.13397749677790324,0.6086891497077509,AMI
infomap,0.13397749677790324,0.6329309750995532,NMI
infomap,0.13397749677790324,0.888278570514649,AMI
infomap,0.13397749677790324,0.8954679017273188,NMI
infomap,0.13397749677790324,0.8884272328883109,AMI
infomap,0.13397749677790324,0.8940121406177213,NMI
infomap,0.13397749677790324,0.6670458225375822,AMI
infomap,0.13397749677790324,0.698095244782707,NMI
infomap,0.13397749677790324,0.6573142752761932,AMI
infomap,0.13397749677790324,0.680220106000602,NMI
infomap,0.13397749677790324,0.7636158156405379,AMI
infomap,0.13397749677790324,0.7877363013912577,NMI
infomap,0.13397749677790324,0.8396952371018376,AMI
