model_1,model_2,dimension,wasserstein
configuration_model_2,configuration_model_24,0,88.46803743153548
configuration_model_2,configuration_model_24,1,37.112698372208094
configuration_model_2,configuration_model_24,2,15.313708498984765
configuration_model_2,enhanced_configuration_model_0,0,6026.679718024299
configuration_model_2,enhanced_configuration_model_0,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_0,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_1,0,6215.619364224839
configuration_model_2,enhanced_configuration_model_1,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_1,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_2,0,6156.858433574489
configuration_model_2,enhanced_configuration_model_2,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_2,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_3,0,6283.794508437561
configuration_model_2,enhanced_configuration_model_3,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_3,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_4,0,4804.109337295457
configuration_model_2,enhanced_configuration_model_4,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_4,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_5,0,6539.323512413191
configuration_model_2,enhanced_configuration_model_5,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_5,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_6,0,6539.323512413191
configuration_model_2,enhanced_configuration_model_6,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_6,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_7,0,6020.514260330328
configuration_model_2,enhanced_configuration_model_7,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_7,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_8,0,2001.0253582997764
configuration_model_2,enhanced_configuration_model_8,1,223.44574285494917
configuration_model_2,enhanced_configuration_model_8,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_9,0,6155.030006449743
configuration_model_2,enhanced_configuration_model_9,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_9,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_10,0,3694.081633147492
configuration_model_2,enhanced_configuration_model_10,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_10,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_11,0,5828.502794746702
configuration_model_2,enhanced_configuration_model_11,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_11,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_12,0,6219.912257443652
configuration_model_2,enhanced_configuration_model_12,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_12,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_13,0,4628.483399593904
configuration_model_2,enhanced_configuration_model_13,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_13,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_14,0,6539.323512413191
configuration_model_2,enhanced_configuration_model_14,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_14,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_15,0,4345.883327806405
configuration_model_2,enhanced_configuration_model_15,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_15,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_16,0,5182.3317754470445
configuration_model_2,enhanced_configuration_model_16,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_16,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_17,0,2354.2269811711917
configuration_model_2,enhanced_configuration_model_17,1,225.7834130471501
configuration_model_2,enhanced_configuration_model_17,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_18,0,2815.6540007870226
configuration_model_2,enhanced_configuration_model_18,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_18,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_19,0,6154.73711323093
configuration_model_2,enhanced_configuration_model_19,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_19,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_20,0,3518.0656829675736
configuration_model_2,enhanced_configuration_model_20,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_20,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_21,0,3713.031380615798
configuration_model_2,enhanced_configuration_model_21,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_21,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_22,0,6539.323512413191
configuration_model_2,enhanced_configuration_model_22,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_22,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_23,0,5897.208109255295
configuration_model_2,enhanced_configuration_model_23,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_23,2,62.22539674441619
configuration_model_2,enhanced_configuration_model_24,0,6347.383866212656
configuration_model_2,enhanced_configuration_model_24,1,221.32442251138946
configuration_model_2,enhanced_configuration_model_24,2,62.22539674441619
_hidalgo_disparity_filtration.csv,configuration_model_3,0,822.050865276332
_hidalgo_disparity_filtration.csv,configuration_model_3,1,202.41073171320448
_hidalgo_disparity_filtration.csv,configuration_model_3,2,62.93250352560275
configuration_model_3,configuration_model_4,0,150.93607486307096
configuration_model_3,configuration_model_4,1,36.45584412271569
configuration_model_3,configuration_model_4,2,13.435028842544407
configuration_model_3,configuration_model_5,0,73.76093065034893
configuration_model_3,configuration_model_5,1,30.435028842544405
configuration_model_3,configuration_model_5,2,12.313708498984765
configuration_model_3,configuration_model_6,0,96.05382386916237
configuration_model_3,configuration_model_6,1,35.97056274847713
configuration_model_3,configuration_model_6,2,15.556349186104049
