nocues,nhog,v182caes,v183ciuo,ponderation,sex_id,public_worker,total_income,age,nivel_ed
178.0,1.0,1009,18160,1450.0,1,2,9.105090961257083,52.0,5.0
178.0,1.0,8509,12355,1450.0,2,2,8.294299608857235,24.0,5.0
179.0,1.0,8501,15153,1305.0,1,2,7.496097345175956,67.0,3.0
179.0,1.0,8501,12310,1305.0,2,1,8.412054873292933,28.0,8.0
180.0,1.0,4903,18322,644.0,1,2,8.294299608857235,51.0,3.0
180.0,1.0,9503,17533,644.0,2,2,6.90875477931522,45.0,3.0
180.0,1.0,5202,19629,644.0,1,2,7.601402334583733,24.0,6.0
180.0,1.0,5201,15245,644.0,1,2,7.601402334583733,21.0,5.0
181.0,1.0,4000,17112,624.0,1,2,8.517393171418904,37.0,3.0
181.0,1.0,4808,19334,624.0,2,2,8.006700845440367,45.0,5.0
181.0,1.0,4502,17132,624.0,1,2,7.601402334583733,24.0,5.0
182.0,1.0,4808,19122,542.0,1,2,7.601402334583733,43.0,3.0
182.0,1.0,8501,19112,542.0,2,4,8.006700845440367,43.0,5.0
182.0,2.0,8700,15321,431.0,2,1,7.824445930877619,64.0,3.0
182.0,2.0,6500,14412,431.0,1,2,8.006700845440367,25.0,8.0
183.0,1.0,8401,19112,419.0,1,1,8.24301946898925,64.0,3.0
183.0,1.0,1400,18153,419.0,2,2,,59.0,5.0
183.0,1.0,4502,17231,419.0,2,2,7.170888478512505,38.0,3.0
183.0,2.0,4802,17511,2348.0,2,2,,32.0,5.0
184.0,1.0,4900,18331,611.0,1,2,,43.0,5.0
184.0,1.0,5500,15120,611.0,2,2,8.630700432209832,42.0,4.0
185.0,1.0,8102,19214,530.0,2,1,7.170888478512505,46.0,3.0
185.0,1.0,4000,17112,530.0,1,2,8.101980731853192,52.0,3.0
186.0,1.0,4805,15223,238.0,1,2,8.875007486048396,35.0,8.0
186.0,1.0,9700,19111,238.0,1,2,7.601402334583733,75.0,2.0
186.0,1.0,2002,18210,238.0,2,2,7.601402334583733,69.0,3.0
187.0,1.0,4000,17411,2451.0,1,2,9.61587214452889,28.0,2.0
187.0,1.0,5601,15120,2451.0,2,2,,28.0,4.0
188.0,1.0,4809,15223,1067.0,1,2,8.006700845440367,35.0,6.0
