v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
3300,"Mantenimiento, reparación e instalación de maquinaria y equipo",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",36905.02,36905.02,8.86,0.6,8.95,3.73,96.27,12.43,4.61,1.78,49.65,18.63,42.0
3501,"Generación, transmisión y distribución de energía eléctrica","D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",54142.82,54142.82,8.94,0.6,8.75,1.23,98.77,41.72,4.86,1.62,46.2,13.19,46.0
3502,Fabricación de gas,"D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",22675.48,22675.48,9.08,0.49,9.18,0.0,100.0,14.27,3.59,1.54,39.72,12.88,40.0
3600,"Captación, tratamiento y suministro de agua",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",35281.7,35281.7,8.94,0.57,8.85,5.9,94.1,38.64,3.87,1.19,49.64,16.47,43.5
3700,Alcantarillado,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",845.0,845.0,8.16,0.0,8.16,0.0,100.0,100.0,2.0,0.0,45.0,0.0,45.0
3800,"Recolección, tratamiento y eliminación de desechos",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",108972.17,108972.17,8.37,1.0,8.37,22.19,77.81,26.2,3.27,1.62,38.82,14.41,37.5
3900,Actividades de saneamiento,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",5820.21,5820.21,8.15,0.22,8.29,75.75,24.25,89.19,7.45,1.47,32.89,9.01,31.0
4000,Construcción,F. Construcción,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2794371.72,2794371.72,8.4,0.8,8.32,3.06,96.94,4.06,3.69,1.43,40.04,16.47,36.0
4501,Venta de vehículos automotores,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",9116.81,9116.81,7.98,0.61,8.46,34.78,65.22,0.0,4.68,2.54,40.3,11.16,35.0
4502,Reparación de vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",526379.14,526379.14,8.5,0.82,8.51,2.49,97.51,0.07,4.02,1.48,44.33,18.92,41.0
4503,"Venta de partes, piezas y accesorios de vehículos",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",7130.11,7130.11,8.76,0.63,8.66,0.0,100.0,0.0,4.72,1.91,45.59,13.6,47.0
4504,"Venta, mantenimiento y reparación de motocicletas",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",53130.11,53130.11,7.55,1.17,7.84,4.37,95.63,0.0,3.4,1.16,31.93,16.99,30.0
