algorithm,resolution,num_communities,seed,modularity
infomap,0.24048919999914883,3,50469,0.0
infomap,0.24048919999914883,3,2110,0.0
infomap,0.24048919999914883,1,9373,0.0
infomap,0.24048919999914883,1,3289,0.0
infomap,0.24048919999914883,1,54621,-1.1102230246251565e-16
infomap,0.24048919999914883,4,21588,0.0
infomap,0.24048919999914883,1,23019,1.1102230246251565e-16
infomap,0.24048919999914883,3,57408,0.0
infomap,0.24048919999914883,3,18144,0.0
infomap,0.27836299928834185,4,43667,0.0
infomap,0.27836299928834185,1,55824,0.0
infomap,0.27836299928834185,3,14480,0.0
infomap,0.27836299928834185,4,57991,0.0
infomap,0.27836299928834185,4,54596,0.0
infomap,0.27836299928834185,1,50180,0.0
infomap,0.27836299928834185,3,50469,0.0
infomap,0.27836299928834185,3,2110,0.0
infomap,0.27836299928834185,1,9373,0.0
infomap,0.27836299928834185,1,3289,0.0
infomap,0.27836299928834185,1,54621,-1.1102230246251565e-16
infomap,0.27836299928834185,1,21588,0.0
infomap,0.27836299928834185,1,23019,1.1102230246251565e-16
infomap,0.27836299928834185,1,57408,0.0
infomap,0.27836299928834185,1,18144,0.0
infomap,0.3222014101800649,1,43667,0.0
infomap,0.3222014101800649,1,55824,0.0
infomap,0.3222014101800649,1,14480,0.0
infomap,0.3222014101800649,1,57991,0.0
infomap,0.3222014101800649,1,54596,0.0
infomap,0.3222014101800649,3,50180,0.0
infomap,0.3222014101800649,3,50469,0.0
infomap,0.3222014101800649,1,2110,0.0
infomap,0.3222014101800649,1,9373,0.0
infomap,0.3222014101800649,3,3289,0.0
infomap,0.3222014101800649,1,54621,-1.1102230246251565e-16
infomap,0.3222014101800649,4,21588,0.0
infomap,0.3222014101800649,3,23019,1.1102230246251565e-16
infomap,0.3222014101800649,1,57408,0.0
infomap,0.3222014101800649,1,18144,0.0
infomap,0.37294377840241305,1,43667,0.0
infomap,0.37294377840241305,1,55824,0.0
infomap,0.37294377840241305,3,14480,0.0
infomap,0.37294377840241305,1,57991,0.0
infomap,0.37294377840241305,4,54596,0.0
infomap,0.37294377840241305,3,50180,0.0
infomap,0.37294377840241305,3,50469,0.0
infomap,0.37294377840241305,1,2110,0.0
infomap,0.37294377840241305,1,9373,0.0
infomap,0.37294377840241305,3,3289,0.0
infomap,0.37294377840241305,3,54621,-1.1102230246251565e-16
infomap,0.37294377840241305,4,21588,0.0
infomap,0.37294377840241305,3,23019,1.1102230246251565e-16
infomap,0.37294377840241305,3,57408,0.0
infomap,0.37294377840241305,3,18144,0.0
infomap,0.4316773839423552,4,43667,0.0
infomap,0.4316773839423552,3,55824,0.0
infomap,0.4316773839423552,3,14480,0.0
infomap,0.4316773839423552,1,57991,0.0
infomap,0.4316773839423552,5,54596,0.15095967112416048
infomap,0.4316773839423552,4,50180,0.14689162781323636
infomap,0.4316773839423552,4,50469,0.1463415823643929
infomap,0.4316773839423552,3,2110,0.0
infomap,0.4316773839423552,5,9373,0.15212743557033698
infomap,0.4316773839423552,3,3289,0.0
infomap,0.4316773839423552,4,54621,0.1506149852863369
infomap,0.4316773839423552,4,21588,0.0
infomap,0.4316773839423552,3,23019,1.1102230246251565e-16
infomap,0.4316773839423552,4,57408,0.1372781881127476
infomap,0.4316773839423552,3,18144,0.0
infomap,0.4996607386924835,5,43667,0.13421490088542265
infomap,0.4996607386924835,3,55824,0.0
infomap,0.4996607386924835,3,14480,0.0
infomap,0.4996607386924835,4,57991,0.0
infomap,0.4996607386924835,5,54596,0.15095967112416048
infomap,0.4996607386924835,4,50180,0.14689162781323636
infomap,0.4996607386924835,4,50469,0.1463415823643929
infomap,0.4996607386924835,4,2110,0.1491886730244936
infomap,0.4996607386924835,5,9373,0.15212743557033698
infomap,0.4996607386924835,3,3289,0.0
infomap,0.4996607386924835,4,54621,0.1506149852863369
infomap,0.4996607386924835,4,21588,0.0
infomap,0.4996607386924835,4,23019,0.12781210693498168
infomap,0.4996607386924835,4,57408,0.1372781881127476
infomap,0.4996607386924835,4,18144,0.138806180695057
infomap,0.5783505531623061,6,43667,0.4192215344476683
infomap,0.5783505531623061,6,55824,0.4575569667560072
infomap,0.5783505531623061,6,14480,0.44019090722665
infomap,0.5783505531623061,7,57991,0.44498820474447126
infomap,0.5783505531623061,7,54596,0.4542688318051838
infomap,0.5783505531623061,6,50180,0.4446220480384292
infomap,0.5783505531623061,6,50469,0.45049129872957794
infomap,0.5783505531623061,6,2110,0.44768903589980946
infomap,0.5783505531623061,7,9373,0.45381711168125344
infomap,0.5783505531623061,6,3289,0.4527725384411656
infomap,0.5783505531623061,6,54621,0.44528689848060254
infomap,0.5783505531623061,7,21588,0.4448018921050116
infomap,0.5783505531623061,6,23019,0.4427677188421811
infomap,0.5783505531623061,6,57408,0.4376899355259811
infomap,0.5783505531623061,5,18144,0.42575436128127364
infomap,0.6694329500821696,7,43667,0.43444945196265583
infomap,0.6694329500821696,6,55824,0.4575569667560072
infomap,0.6694329500821696,7,14480,0.45025692484882385
infomap,0.6694329500821696,7,57991,0.4463692451785249
infomap,0.6694329500821696,8,54596,0.45623693331419535
infomap,0.6694329500821696,7,50180,0.45642421070963907
infomap,0.6694329500821696,7,50469,0.4536790089024491
infomap,0.6694329500821696,7,2110,0.4574256671625377
infomap,0.6694329500821696,7,9373,0.45381711168125344
infomap,0.6694329500821696,6,3289,0.45412312101038016
infomap,0.6694329500821696,7,54621,0.4601165626735082
infomap,0.6694329500821696,7,21588,0.4448018921050116
infomap,0.6694329500821696,6,23019,0.4435829357124239
