v182caes,original_v182caes,caeslabel,caesletra,caesag,caeslabel_color,caesletra_color,caesag_color,n_obs,total_workers_weighted,income_mean,income_std,income_median,female_pct,male_pct,public_sector_pct,nivel_ed_mean,nivel_ed_std,age_mean,age_std,age_median
3003,3003,Fabricación de aeronaves,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",875.0,875.0,8.7,0.0,8.7,0.0,100.0,100.0,7.0,0.0,85.0,0.0,85.0
3009,3009,Fabricación de otros equipos de transporte n.c.p.,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1709.0,1709.0,8.38,0.08,8.37,0.0,100.0,0.0,3.0,0.0,23.02,1.0,23.0
3100,3100,Fabricación de muebles y colchones,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",167241.6,167241.6,8.63,0.69,8.52,0.0,100.0,1.67,3.89,1.53,46.9,17.11,46.0
3200,3200,Industrias manufactureras n.c.p,C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",51869.33,51869.33,8.86,0.77,8.85,0.0,100.0,6.39,4.39,1.61,38.36,20.6,32.0
3300,3300,"Mantenimiento, reparación e instalación de maquinaria y equipo",C. Industria Manufacturera,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.8026, 0.7275, 0.6562, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",45282.64,45282.64,8.89,0.65,8.99,0.0,100.0,8.79,4.95,2.0,48.66,17.24,43.5
3501,3501,"Generación, transmisión y distribución de energía eléctrica","D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",120696.74,120696.74,9.03,0.7,9.13,0.0,100.0,39.57,4.86,1.87,53.85,18.38,48.0
3502,3502,Fabricación de gas,"D. Suministro de Electricidad, Gas, Vapor y Aire Acondicionado ","BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.9922, 0.7529, 0.5255, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",31653.21,31653.21,9.24,0.56,9.18,0.0,100.0,22.08,3.82,1.45,45.22,15.41,42.0
3600,3600,"Captación, tratamiento y suministro de agua",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(0.9921568627450981, 0.7529411764705882, 0.5254901960784314, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",47371.65,47371.65,9.05,0.69,8.85,0.0,100.0,43.96,4.75,1.88,50.11,15.07,46.0
3700,3700,Alcantarillado,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",1579.0,1579.0,8.12,0.04,8.12,0.0,100.0,100.0,2.93,1.0,60.8,16.96,62.0
3800,3800,"Recolección, tratamiento y eliminación de desechos",E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",91231.6,91231.6,8.43,1.02,8.45,0.0,100.0,30.64,3.66,1.68,40.66,15.63,38.0
3900,3900,Actividades de saneamiento,E. Suministro De Agua,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(0.998, 0.9382, 0.5814, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2078.21,2078.21,8.89,0.38,9.05,0.0,100.0,69.73,3.8,0.4,54.81,17.03,63.0
4000,4000,Construcción,F. Construcción,"BCDEF. Minería, Industria, Electricidad, Saneamiento y Construcción","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.7996, 0.7542, 0.6306, 1.0)",2862840.87,2862840.87,8.44,0.8,8.35,0.0,100.0,5.04,3.79,1.56,40.53,16.66,37.0
4501,4501,Venta de vehículos automotores,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",91277.87,91277.87,9.09,0.66,8.96,0.0,100.0,0.0,5.46,1.91,44.76,15.08,40.5
4502,4502,Reparación de vehículos,G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",518872.65,518872.65,8.52,0.81,8.52,0.0,100.0,0.07,4.05,1.5,44.25,18.83,41.0
4503,4503,"Venta de partes, piezas y accesorios de vehículos",G. Comercio al por Mayor y al por Menor,"GI. Comercio, alojamiento y comidas","(1.0, 1.0, 0.6, 1.0)","(1.0, 1.0, 0.6, 1.0)","(0.8768, 0.909, 0.6142, 1.0)",61014.8,61014.8,8.93,0.6,8.9,0.0,100.0,0.0,5.01,1.92,43.8,13.66,44.0
